City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Acapulco de Juárez,16.8634,-99.8901,80.42,78,0,6.91,MX,1733103013
1,Constanța,44.1833,28.65,39.88,74,100,17.94,RO,1733102904
2,Klyuchi,52.2667,79.1667,16.11,93,100,7.07,RU,1733103016
3,Fortuna,40.5982,-124.1573,49.12,83,0,4.61,US,1733103018
4,Martapura,-3.4167,114.85,78.89,89,75,5.75,ID,1733103019
5,Piaçabuçu,-10.4056,-36.4344,77.13,87,10,11.48,BR,1733103020
6,Puerto Ayora,-0.7393,-90.3518,70.3,89,77,7.94,EC,1733103021
7,Awjilah,29.1081,21.2869,56.17,72,1,5.1,LY,1733103023
8,Bethel,41.3712,-73.414,29.55,65,0,0.0,US,1733102964
9,Utrik,11.2278,169.8474,82.04,73,62,21.16,MH,1733103025
10,Bilibino,68.0546,166.4372,0.25,95,65,2.86,RU,1733103026
11,Grytviken,-54.2811,-36.5092,40.23,94,100,10.63,GS,1733103027
12,Afaahiti,-17.75,-149.2833,79.59,80,80,12.44,PF,1733103029
13,Alotau,-10.3069,150.4462,90.12,59,52,7.02,PG,1733103030
14,Lihue,21.9789,-159.3672,80.19,68,40,10.36,US,1733103031
15,Codrington,-38.2667,141.9667,78.24,45,72,13.73,AU,1733103032
16,Nadi,-17.8,177.4167,86.0,66,75,12.66,FJ,1733103033
17,Pisco,-13.7,-76.2167,68.05,83,0,14.97,PE,1733103035
18,Isafjordur,66.0755,-23.124,11.07,66,41,9.4,IS,1733103036
19,Rémire-Montjoly,4.9167,-52.2667,78.84,94,75,4.61,GF,1733103037
20,Cologne,50.9333,6.95,44.96,84,100,5.75,DE,1733103032
21,Adamstown,-25.066,-130.1015,73.9,77,86,13.82,PN,1733103040
22,Port Elizabeth,-33.918,25.5701,62.89,98,0,4.61,ZA,1733103041
23,Bonanza,14.0289,-84.591,70.92,99,100,3.49,NI,1733103042
24,Blackmans Bay,-43.0167,147.3167,71.73,61,56,7.54,AU,1733103043
25,Udachny,66.4167,112.4,-26.23,94,82,5.77,RU,1733103044
26,Port-aux-Français,-49.35,70.2167,38.03,78,97,6.98,TF,1733103046
27,Usinsk,65.9939,57.5281,15.04,96,100,11.92,RU,1733103047
28,Keflavik,64.0049,-22.5624,18.03,73,40,6.91,IS,1733103048
